Longitude,Latitude,,addr:street,amenity,name,building,opening_hours,capacity,description,ref,wheelchair,shelter,name:en,covered,source,fixme,bin,operator,addr:housenumber,note,access,bench,name:zh,survey:date,level,fixme:zh,addr:postcode,location,service,bus_bay,postal_code,tactile_paving,lit,id
103.840644,1.280386,,,taxi,Embassy of the Republic of Indonesia,,,2,Teo Hong Road near Outram MRT Station Exit H,D01,yes,,,,,,,,,,,,,,,,,,,,,,,
103.773531,1.306905,,,taxi,Expo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.773405,1.307582,,,taxi,Far East Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.773976,1.306164,,,taxi,Farrer Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.855461,1.298402,,,taxi,Farrer Road Station,,,2,North Bridge Road along driveway outside Bugis Junction Tower,B11,yes,,,,,,,,,,,,,,,,,,,,,,,
103.854762,1.294622,,,taxi,GB Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.843833,1.321046,,,taxi,Geylang Polyclinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.852316,1.282505,,,taxi,Gleneagles Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.848205,1.369071,,,taxi,Great Eastern Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.765314,1.30327,,,taxi,Harbourfront Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.945766,1.327309,,,taxi,Haw Par Villa Station,,,,,I06,,,Tanah Merah Station,,,,,,,,,,,,,,,,,,,,,
103.872238,1.304462,,,taxi,Haw Par Villa tiger ban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.873002,1.350892,,,taxi,High Commission of Malaysia,,,,,G05,,,,,,,,,,,,,,,,,,,,,,,,
103.873776,1.349506,,,taxi,OG,,,,,G07,,,,,,,,,,,,,,,,,,,,,,,,
103.834762,1.280574,,,taxi,OUE Bayfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.7905,1.30662,,,taxi,OUE Downtown,,,,,F46,,,,,,,,,,,,,,,,,,,,,,,,
103.850272,1.278574,,,taxi,One Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.85273,1.284208,,,taxi,One Raffles Quay,,,,,E32,,,,,,,,,,,,,,,,,,,,,,,,
103.840963,1.30258,,,taxi,Opposite Bishan Station,,,1,Cavenagh Road at Holiday Inn Orchard City Centre,A14,yes,,,,,,,,,,,,,,,,,,,,,,,
103.795437,1.310082,,,taxi,Opposite Blk 102,,,,,H03,,,,,,,,,,,,,,,,,,,,,,,,
103.852744,1.297312,,,taxi,Opposite Mac-Nels,,,,Victoria Street at Hotel Grand Pacific,B15,yes,,,,,,,,,,,,,,,,,,,,,,,
103.849153,1.298997,,,taxi,Opposite Singapore Indoor Stadium,,,,Prinsep Street at Hotel Rendezvous,B01,yes,,,,,,,,,,,,,,,,,,,,,,,
103.892827,1.371462,,,taxi,OrangeTee,,,,,G12,,,,,,,,,,,,,,,,,,,,,,,,
103.862617,1.306764,,,taxi,Outram Station,,,,,F15,,,,,,,,,,,,,,,,,,,,,,,,
103.884728,1.381724,,,taxi,Parkway Parade,,,,,F13,,,,,,,,,,,,,,,,,,,,,,,,
103.740644,1.33334,,,taxi,Paya Lebar Station,,,,,J09,,,,,,,,,,,,,,,,,,,,,,,,
103.697882,1.337765,,,taxi,Potong Pasir Station,,,,,J17,,,,,,,,,,,,,,,,,,,,,,,,
103.742984,1.332155,,,taxi,PriceWaterhouseCoopers Building,,,,,J08,,,,,,,,,,,,,,,,,,,,,,,,
103.706948,1.339004,,,taxi,Punggol Station,,,,,J15,,,,,,,,,,,,,,,,,,,,,,,,
103.847392,1.310342,,,taxi,Queenstown Neighbourhood Police Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.901338,1.303824,,,taxi,Admiralty Station,,,,,I16,,,,,,,,,,,,,,,,,,,,,,,,
103.848762,1.280234,,,taxi,Aljunied Station,,,,,E09,,,,,,,,,,,,,,,,,,,,,,,,
103.833254,1.417512,,,taxi,Amara Hotel,,,,,H07,,,,yes,,,,,,,,,,,,,,,,,,,,
103.877112,1.354762,,,taxi,Ang Mo Kio Station,,,,,G09,,,,,,,,,,,,,,,,,,,,,,,,
103.884684,1.359613,,,taxi,Archipelago Brewery,,,,,G10,,,,,,,,,,,,,,,,,,,,,,,,
103.884523,1.359816,,,taxi,Balestier Hospital,,,,,G11,,,,,,,,,,,,,,,,,,,,,,,,
103.762292,1.425595,,,taxi,Balmoral Plaza,,,,,H19,,,,,,,,,,,,,,,,,,,,,,,,
103.850953,1.302954,,,taxi,Bartley Station,,,1,Short Street near La Salle Arts College,B03,yes,,,,,,,,,,,,,,,,,,,,,,,
103.850808,1.280412,,,taxi,Bendemeer,,,,,E36,,,,,,,,,,,,,,,,,,,,,,,,
103.797995,1.302462,,,taxi,Bharat,,,,,F43,,,,,,,,,,,,,,,,,,,,,,,,
103.889382,1.308648,,,taxi,Bishan Station,,,,,I27,,,,,,,,,,,,,,,,,,,,,,,,
103.779316,1.311308,,,taxi,Blk 109,,,,,J06,,,,,,,,,,,,,,,,,,,,,,,,
103.777918,1.311559,,,taxi,Blk 165,,,,,J05,,,,,,,,,,,,,,,,,,,,,,,,
103.952854,1.342468,,,taxi,Blk 175,,,,,I04,,,,,,,,,,,,,,,,,,,,,,,,
103.822485,1.299981,,,taxi,Blk 19,,,,,F48,,,,,,,,,,,,,,,,,,,,,,,,
103.962024,1.334562,,,taxi,Blk 267,,,,,I02,,,,,,,,,,,,,,,,,,,,,,,,
103.83334,1.307398,,,taxi,Blk 492,,,,,F52,,,,,,,,,,,,,,,,,,,,,,,,
103.853231,1.312497,,,taxi,Blk 5,,,,,F29,,,,,,,,,,,,,,,,,,,,,,,,
103.853588,1.31263,,,taxi,Blk 54,,,,,F28,,,,,,,,,,,,,,,,,,,,,,,,
103.80732,1.317364,,,taxi,Blk 71,,,,,H05,,,,,,,,,,,,,,,,,,,,,,,,
103.847969,1.278922,,,taxi,Botanic Gardens Station,,,,,E08,,,Papua new guinea high commission,,,,,,,,,,,,,,,,,,,,,
103.887317,1.319172,,Geylang East Central,taxi,F07 Blk 109 (near Braddell MRT),,,,,I24,,,,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,
103.820172,1.307392,,,taxi,Buangkok Station,,,,,F51,,,,,,,,,,,,,,,,,,,,,,,,
103.847675,1.284993,,,taxi,Bugis Junction,,,,,E01,,,,,,,,,,,,,,,,,,,,,,,,
103.821337,1.2659,,,taxi,Bukit Timah Shopping Centre,,,,,F32,,,,,,,,,,,,,,,,,,,,,,,,
103.843948,1.297009,,,taxi,Holland Drive near Buona Vista Community Club,,,4,Clemenceau Avenue in front of Haw Par Glass Centre,A19,yes,,,,,,,,,,,,,,,,,,,,,,,
103.781605,1.283343,,,taxi,Caldecott Station,,,,,J19,,,,,,虎豹别墅地铁站,,,,,,,,,,,,,,,,,,
103.781306,1.283678,,,taxi,CapitaGreen,,,,,J04,,,,,,,,,,,,,,,,,,,,,,,,
103.825161,1.293374,,,taxi,Capital Tower,,,,,F47,,,,,,,,,,,,,,,,,,,,,,,,
103.843173,1.28537,,,taxi,Carlton Hotel,,,3,Upper Cross Street outside OG Building,D06,yes,,,,,,,,,,,,,,,,,,,,,,,
103.853139,1.284141,,,taxi,Changi Airport Terminal 1,,,,,E37,,,,,,,,,,,,,,,,,,,,,,,,
103.848908,1.277449,,,taxi,Changi Airport Terminal 2,,,,,E19,,,,,,,,,,,,,,,,,,,,,,,,
103.853848,1.285814,,,taxi,Changi Airport Terminal 3,,,,,E12,,,,,,,,,,,,,,,,,,,,,,,,
103.851627,1.281402,,,taxi,China Square,,,,,E17,,,,,,,,,,,,,,,,,,,,,,,,
103.847748,1.351462,,,taxi,Chinese Garden Station,,,,,F04,,,,,,,,,,,,,,,,,,,,,,,,
103.862,1.319896,,,taxi,Choa Chu Kang Station,,,,,F16,,yes,,,,,yes,,,,,,,,,,,,,,,,,
103.847435,1.286774,,,taxi,City Plaza,,,3,North Canal Road opposite Hong Lim Park,D15,yes,,,,,,,,,,,,,,,,,,,,,,,
103.843694,1.277704,,,taxi,Cold Storage Jelita,,,,,E34,,,,,,,,,,,,,,,,,,,,,,,,
103.841699,1.281756,,,taxi,Liat Towers,,,2,Kreta Ayer Road opposite Oriental Plaza,D04,yes,,,,,,,,,,,,,,,,,,,,,,,
103.84751,1.288397,,,taxi,Kinex,,,3,Carpenter Street Opposite Safra Town Club,D14,yes,,,,,,,,,,,,,,,,,,,,,,,
103.875762,1.301344,,,taxi,Little India Station,,,,,I28,,,,,,,,,,,,,,,,,,,,,,,,
103.84968,1.331231,,,taxi,M Hotel,,,,,F09,,,,,,,,,,,,,,,,,,,,,,,,
103.84045,1.300345,,,taxi,Mandarin Gardens,,,2,Killiney Road outside Orchard Central,A21,yes,,,,,,,,,,,,,,,,,,,,,,,
103.839132,1.281246,,,taxi,Marina Bay Cruise Centre,,,,,F34,,,,,,,,,,,,,,,,,,,,,,,,
103.852162,1.298062,,,taxi,Marsiling Station,,,2,Queen Street at China Cultural Centre,B09,yes,,,,,,,Land Transport Authority,,,,,,,,,,,,,,,,
103.835924,1.304288,,,taxi,Ministry of Manpower,,,,Mt Elizabeth Road at Paragon Medical Centre,A04,yes,,,,,,,,,,,,,,,,,,,,,,,
103.855908,1.310819,,,taxi,Murray Terrace Food Alley,,,,,F18,,,,,,,,,,,,,,,,,,,,,,,,
103.84962,1.300462,,,taxi,Newton Station,,,5,Selegie Road outside Parklane Shopping Mall,B02,yes,,,,,,,,,,,,,,,,,,,,,,,
103.90503,1.302298,,,taxi,Nicoll Highway Station,,,,,I15,,,,,,,,,,,,,,,,,,,,,,,,
103.893242,1.3187,,,taxi,Northpoint Shopping Centre,,,,,I23,,,,,,,,,,,,,,,,,,,,,,,,
103.850391,1.291978,,Coleman Street,taxi,OCBC Centre,,,2,Coleman Street along driveway outside Peninsula Excelsior Hotel,C08,yes,,,,,,,,5,,,,,,,,,,,,,,,
103.84231,1.283519,,,taxi,Queenstown Station,,,,Park Crescent outside People's Park Complex,D05,yes,,,,,,,,,,,,,,,,,,,,,,,
103.849276,1.29421,,,taxi,Radin Mas Community Club,,,3,Armenian Street infront of Peranakan Museum,C06,no,,,,,,,,,,,,,,,,,,,,,,,
103.869374,1.331689,,,taxi,Red Dot Musuem,,,,,G02,,,,,,,,,,,,,,,,,,,,,,,,
103.868817,1.332548,,,taxi,Redhill Station,,,,,G01,,,,,,,,,,,,,,,,,,,,,,,,
103.848838,1.282638,,,taxi,Robinson 77,,,,,E07,,,,,,,,,,,,,,,,,,,,,,,,
103.902776,1.404838,,,taxi,Robinson Point,,,,,G20,,,Punggol Station,,,,,,,,,,,,,,,,,,,,,
103.90217,1.405584,,,taxi,SGX Centre,,,,,G19,,,Punggol Station,,,,,,,,,,,,,,,,,,,,,
103.803476,1.288239,,,taxi,Seletar Airport Passenger Terminal,,,,,F45,,,,,,,,,,,,,,,,,,,,,,,,
103.801193,1.440894,,,taxi,Sembawang Station,,,,,H14,,,,,,,,,,,,,,,,,,,,,,,,
103.883165,1.316018,,Lorong 25A Geylang,taxi,Sengkang Station,,,,,I25,,,,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,
103.843371,1.275018,,,taxi,Serangoon Plaza,,,,,E24,,,,,,,,,,,,,,,,,,,,,,,,
103.849439,1.369827,,,taxi,Sheng Siong Hypermart,,,,Ang Mo Kio Ave 8 outside Ang Mo Kio MRT Station,F02,,,,,,,,Land Transport Authority,,,,,,,,,,,,,,,,
103.848803,1.286878,,,taxi,Sim Lim Square,,,,,E35,,,,,,,,,,,,,,,,,,,,,,,,
103.85201,1.287515,,,taxi,Singapore General Hospital,,,4,Old Parliament Lane Behind Victoria Theatre,C10,yes,,,,,,,,,temporarily relocated ,,,,,,,,,,,,,,
to,Empress,Place,,,Singapore Turf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.850798,1.324684,,,taxi,Straits Trading,,,,,F12,yes,yes,,,,,,,,,yes,yes,,,,,,,,,,,,
103.835822,1.316235,,,taxi,Sultan Plaza,,,,,F25,,,,,,,,,,,,,,,,,,,,,,,,
103.880471,1.342315,,,taxi,Tanglin Mall,,,,,I26,,,,,,,,,,,,,,,,,,,,,,,,
103.850258,1.298414,,,taxi,Tanjong Katong Complex,,,1,Bencoolen Street at Bayview Hotel,B05,yes,,,,,,,,,Temporarily relocated to Lor Payah,,,,,,,,,,,,,,
103.863371,1.318318,,,taxi,Telok Ayer Station,,,,,F14,,,,,,,,,,,,,,,,,,,,,,,,
103.851244,1.283458,,,taxi,Thian Hock Keng Temple,,,,,E11,,,,,,,,,,,,,,,,,,,,,,,,
103.848107,1.351548,,,taxi,Tiong Bahru Market,,,,,F05,,,,,,,,,,,,,,,,,,,,,,,,
103.824886,1.274123,,,taxi,Tiong Bahru Plaza,,,,,F39,,,,,,,,,,,,,,,,,,,,,,,,
103.816872,1.282855,,,taxi,Toa Payoh Community Library,,,,,F38,,,,,,,,,,,,,,,,,,,,,,,,
103.84688,1.333632,,,taxi,White Sands,,,,,F08,,,,,,,,,,,,,,,,,,,,,,,,
103.787949,1.311742,,,taxi,Woodlands Train Checkpoint Complex,,,,,H01,,,,,,,,,,,,,,,,,,,,,,,,
103.870652,1.353249,,,taxi,Woodleigh Station,,,,,G04,,,,,,,,,,,,,,,,,,,,,,,,
103.72517,1.350126,,,taxi,Yew Tee Station,,,,,J10,,,,,,,,,,,,,,,,,,,,,,,,
103.986876,1.389726,,,taxi,Yishun Station,,,,,I01,,,,,,,,,,,,,,,,,,,,,,,,
103.914914,1.305157,,,taxi,Siloso Point,,,,,I13,,,,,,,,,,,,,,,,,,,,,,,,
103.908965,1.304848,,,taxi,Bukit Panjang Plaza,,,,,I14,,,,,,,,,,,,,,,,,,,,,,,,
103.814458,1.32151,,,taxi,Palawan,,,,,F57,,,,,,,,,,,,,植物园地铁站,,,,,,,,,,,
103.846332,1.341039,,Lorong 1 Toa Payoh,taxi,Stadium Station,,,,,F07,yes,,,,,,,,,,,,,,,,,,,,,,,
103.893213,1.382602,,,taxi,F01,,,,,G13,,,,,,,,,,,,,,,,,,,,,,,,
103.844358,1.281283,,,taxi,Lakeside Station,,,5,Sago Lane Beside Buddha Tooth Relic Temple &amp; Museum,D17,yes,,,,,,,,,,,,,,,,,,,,,,,
103.855608,1.300009,,,taxi,Zhongshan Mall,,,,,B18,,,,,,,,,,,,,,,,,,,,,,,,
103.856425,1.298927,,,taxi,Drop off point,,,2,Tan Quee Lan Street near Heritage Place,B12,yes,,,,,,,,,,,,,,,,,,,,,,,
103.775786,1.343226,,,taxi,Drop-Off Point 1,,,,,H10,,,,,,,,,,,,,,,,,,,,,,,,
103.79297,1.310155,,,taxi,Drop-off Point 2,,,3,,H02,,,,,,,,,,,,,,,,,,,,,,,,
103.839593,1.336939,,,taxi,Drop-off Point 3,,,,,F58,,,,,,,,,,,,,,25-02-2021,,,,,,,,,,
103.849808,1.282034,,,taxi,PickUp/DropOff Point,,,,,E10,,,,,,,,,,,,,,,,,,,,,,,,
103.84747,1.277316,,,taxi,JTC Summit,,,,,E31,,,,,,,,,,,,,,,,,,,,,,,,
103.851372,1.292656,,,taxi,Singpost Centre Main Entry,,,5,North Bridge Road outside Capitol,C13,yes,,,,,,,,,,,,,,,,,,,,,,,
103.852592,1.295722,,Bras Basah Road,taxi,Cashew MRT Taxi Stand (Exit A),,,,,B16,yes,,,,,,,,,,,,,,,,,,,,,,,
103.842162,1.288645,,,taxi,Parc Riveria pickup point,,,2,Magazine Road outside Central Mall,D10,yes,,,,,,,,,,,,,,,,,,,,,,,
103.846244,1.288817,,,taxi,Singpost Centre North Lobby,,,3,Tew Chew Street at Clarke Quay Central,D12,yes,,,,,,,,,,,,,,,,,,,,,,,
103.990285,1.361146,,,taxi,G27 TAXI STAND,,,,,,,,Changi Airport Terminal 1,,,,,,,,,,璋宜机场1号航站楼,,1,,,,,,,,,
103.988541,1.355802,,,taxi,Singapore National Eye Centre Entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.986755,1.355077,,,taxi,National Cancer Centre Singapore Entrance,,,,,,,,Changi Airport Terminal 3,,,,,,,,,,,,,,,,,,,,,
103.84659,1.283492,,,taxi,SGH Block 4 Entrance,,,,,E03,,,,,,,,,,,,,,,,,,,,,,,,
103.844849,1.285567,,,taxi,F60,,,3,New Bridge Road along driveway outside Chinatown Point,D08,yes,,,,,,,,,,,,,,,,,,,,,,,
103.731935,1.343037,,,taxi,Whistler Grand pickup point,,,,,J11,,,,,,,,,,,,,,,,,,,,,,,,
103.743855,1.384298,,,taxi,Twin View Pickup Point,,,,,J02,,,,,,,,,,,,,,,,,,,,,,,,
103.894043,1.314667,,,taxi,Bayfront Avenue outside Marina Bay MRT station,,,,,I20,,,,,,,,,,,,,,,,,,,,,,,,
103.846256,1.282472,,,taxi,Marina Coastal Drive outside Marina South Pier MRT Station,,,2,Club Street at City State Apartments,D20,yes,,,,,,,,,,,,,,,,,,,,,,,
103.84503,1.290652,,,taxi,Marina Gardens Drive outside Gardens by the Bay MRT Station,,,5,Tan Tye Place at Clarke Quay,C04,yes,,,,,,,,,,,,,,,,,,,,,,,
103.84609,1.291131,,,taxi,College Clinic Pickup/Dropoff,,,4,River Valley Road outside Clarke Quay,C01,yes,,,,,,,,,,,,,,,,,,,,,,,
103.785928,1.317812,,,taxi,Taxi Stop,,,,,H04,,,,,,,,,,,,,,,,,,,,,,,,
103.845186,1.291732,,,taxi,F66,,,2,River Valley Road outside Liang Court Shopping Centre,C02,yes,,,,,,,,,,,,,,,,,,,,,,,
103.830434,1.305157,,,taxi,F67,,,,,F49,,,,,,,,,,,,,,,,,,,,,,,,
103.894309,1.314717,,,taxi,,,,,,I21,,,,,,,,,,,,,,,,,,,,,,,,
103.849462,1.305563,,,taxi,,,,,,F26,,,,,,,,,,,,,,,,,,,,,,,,
103.849998,1.30694,,,taxi,,,,,,F27,,,,,,,,,,,,,,,,,,,,,,,,
103.833837,1.30403,,,taxi,,,,4,Orchard Road along driveway outside Lucky Plaza,A01,yes,,,,,,,,,,,,,,,,,,,,,,,
103.844902,1.273692,,,taxi,,,,,,E29,,,,,,,,,,,,,,,,,,,,,,,,
103.92277,1.308196,,,taxi,,,,,,I12,,,,,,,,,,,,,,,,,,,,,,,,
103.860441,1.266277,,,taxi,,,,,,F59,,,,,,,,,,,,,,,,,,,,,,,,
103.857305,1.291906,,,taxi,,,,,Raffles Boulevard at Marina Mandarin Hotel,C23,yes,,,,,,,,,,,,,,,,,,,,,,,
103.85787,1.291613,,,taxi,,,,4,Raffles Boulevard along driveway outside Marina Square,C22,yes,,,,,,,,,,,,,,,,,,,,,,,
103.773684,1.432404,,,taxi,,,,,,H18,,,,,,,,,,,,,,,,,,,,,,,,
103.85056,1.299289,,,taxi,,,,3,Bencoolen Street at Masjid Bencoolen,B17,yes,,,,,,,,,Temporarily relocated to Prinsep Link,,,,,,,,,,,,,,
103.835794,1.301954,,,taxi,,,,,Orchard Link at Meritus Mandarin Hotel,A07,yes,,,,,,,,,,,,,,,,,,,,,,,
103.859863,1.29158,,,taxi,,,,2,Temasek Avenue at Millenia Walk,C20,yes,,,,,,,,,,,,,,,,,,,,,,,
103.860619,1.292837,,,taxi,,,,4,Temasek Avenue at Millenia Tower,C21,yes,,,,,,,,,,,,,,,,,,,,,,,
103.844694,1.287341,,,taxi,,,,2,New Market Road outside Ministry of Manpower,D09,yes,,,,,,,,,,,,,,,,,,,,,,,
103.835241,1.304302,,,taxi,,,,5,Mt Elizabeth Road at Mt Elizabeth Hospital,A05,yes,,,,,,,,,,,,,,,,,,,,,,,
103.844262,1.278726,,,taxi,,,,,,E21,,,,,,,,,,,,,,,,,,,,,,,,
103.83776,1.311939,,,taxi,,,,,,F53,,,,,,,,,,,,,,,,,,,,,,,,
103.837633,1.312204,,,taxi,,,,,,F54,,,,,,,,,,,,,,,,,,,,,,,,
103.863492,1.299728,,,taxi,,,,,,F21,,,,,,,,,,,,,,,,,,,,,,,,
103.835991,1.429924,,,taxi,,,,,,H10,,,,,,,,,,,,,,,,,,,,,,,,
103.849266,1.285487,,,taxi,,,,,,E04,,,,,,,,,,,,,,,,,,,,,,,,
103.849379,1.285959,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.843961,1.28618,,,taxi,,,,2,Havelock Square outside People's Park Centre (New Market Road),D07,yes,,,,,,,,,,,,,,,,,,,,,,,
103.801354,1.286426,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.848909,1.287978,,,taxi,,,,,,E33,,,,,,,,,,,,,,,,,,,,,,,,
103.845866,1.288512,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.859428,1.293946,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.85541,1.296228,,,taxi,,,,2,Purvis Street outside Shop House No 24,B14,no,,,,,,,,,,,,,,,,,,,,,,,
103.842384,1.299721,,,taxi,,,,3,Penang Road after Istana Park,A20,no,,,,,,,,,,,,,,,,,,,,,,,
103.841953,1.300982,,,taxi,,,,5,Kramat Lane outside Concorde Hotel &amp; Shopping Mall,A13,no,,,,,,,,,,,,,,,,,,,,,,,
103.82689,1.306474,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.827598,1.306913,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
